Keyword,Traffic Score,Jacard Score,Cosine Score,BERT Score,BLEU-2 Score,BLEU-4 Score,ROUGE-1 Score,Search Volume,Competitor Score,CPC
ソニーテレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
4k テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
有機el,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
kj 49x8500f,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
ソニー 4K テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
ソニー 高画質 テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
ソニー 高音質 テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
4K 高画質,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
3840x2160 解像度,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
高解像度 テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
有機EL テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
LED バックライト,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
Mini LED テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
A80L シリーズ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
XRJ-50X90K モデル,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
KJ-43X80WK モデル,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
Bluetooth 対応 テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
ソニー Bluetooth テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
Bluetooth 4K テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
YouTube 対応 テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
ソニー YouTube テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
YouTube 4K テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
高音質 テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
臨場感 音質 テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
ソニー 音質 テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
ソニー 4K HDR テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
ソニー ハイレゾ テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
ソニー プレミアム テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
ソニー Bluetooth 5.0 テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
ソニー ワイヤレス接続 テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
ソニー Bluetooth スピーカー テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
ソニー Dolby Atmos テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
ソニー サラウンドサウンド テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
ソニー ハイレゾ音源 テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
ソニー YouTube 4K テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
ソニー YouTube HDR テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
ソニー YouTube ストリーミング テレビ,642.593837535014,0.12423939272678768,0.8372864734057952,0.6279383897781372,0.11177354031069645,0.04687851541431708,0.5853658536585366,730.9803921568628,90.68627450980392,0.27156862745098037
