Keyword,Traffic Score,Jacard Score,Cosine Score,BERT Score,BLEU-2 Score,BLEU-4 Score,ROUGE-1 Score,Search Volume,Competitor Score,CPC
医療保険,2.3333333333333335,0.158025042457447,0.8285354087750116,0.6411824226379395,0.1327898960899152,0.05089900263967201,0.0,3402.6666666666665,9.511111111111111,2.7864444444444443
がん保険,2.3333333333333335,0.158025042457447,0.8285354087750116,0.6411824226379395,0.1327898960899152,0.05089900263967201,0.0,3402.6666666666665,9.511111111111111,2.7864444444444443
医療保険 安い,2.3333333333333335,0.158025042457447,0.8285354087750116,0.6411824226379395,0.1327898960899152,0.05089900263967201,0.0,3402.6666666666665,9.511111111111111,2.7864444444444443
がん保険 ソニー,2.3333333333333335,0.158025042457447,0.8285354087750116,0.6411824226379395,0.1327898960899152,0.05089900263967201,0.0,3402.6666666666665,9.511111111111111,2.7864444444444443
ソニー 病気保険,2.3333333333333335,0.158025042457447,0.8285354087750116,0.6411824226379395,0.1327898960899152,0.05089900263967201,0.0,3402.6666666666665,9.511111111111111,2.7864444444444443
ソニー 入院保険,2.3333333333333335,0.158025042457447,0.8285354087750116,0.6411824226379395,0.1327898960899152,0.05089900263967201,0.0,3402.6666666666665,9.511111111111111,2.7864444444444443
ソニー損保 医療,2.3333333333333335,0.158025042457447,0.8285354087750116,0.6411824226379395,0.1327898960899152,0.05089900263967201,0.0,3402.6666666666665,9.511111111111111,2.7864444444444443
ソニー保険,2.3333333333333335,0.158025042457447,0.8285354087750116,0.6411824226379395,0.1327898960899152,0.05089900263967201,0.0,3402.6666666666665,9.511111111111111,2.7864444444444443
ソニー 終身医療保険,2.3333333333333335,0.158025042457447,0.8285354087750116,0.6411824226379395,0.1327898960899152,0.05089900263967201,0.0,3402.6666666666665,9.511111111111111,2.7864444444444443
ソニー損保 安い,2.3333333333333335,0.158025042457447,0.8285354087750116,0.6411824226379395,0.1327898960899152,0.05089900263967201,0.0,3402.6666666666665,9.511111111111111,2.7864444444444443
ソニー損保 手頃な保険料,2.3333333333333335,0.158025042457447,0.8285354087750116,0.6411824226379395,0.1327898960899152,0.05089900263967201,0.0,3402.6666666666665,9.511111111111111,2.7864444444444443
ソニー損保 保険料,2.3333333333333335,0.158025042457447,0.8285354087750116,0.6411824226379395,0.1327898960899152,0.05089900263967201,0.0,3402.6666666666665,9.511111111111111,2.7864444444444443
ソニー損保 ご契約者ページ,2.3333333333333335,0.158025042457447,0.8285354087750116,0.6411824226379395,0.1327898960899152,0.05089900263967201,0.0,3402.6666666666665,9.511111111111111,2.7864444444444443
ソニー損保 保険金請求,2.3333333333333335,0.158025042457447,0.8285354087750116,0.6411824226379395,0.1327898960899152,0.05089900263967201,0.0,3402.6666666666665,9.511111111111111,2.7864444444444443
ソニー損保 契約内容の変更,2.3333333333333335,0.158025042457447,0.8285354087750116,0.6411824226379395,0.1327898960899152,0.05089900263967201,0.0,3402.6666666666665,9.511111111111111,2.7864444444444443
ソニー損保 給付金,2.3333333333333335,0.158025042457447,0.8285354087750116,0.6411824226379395,0.1327898960899152,0.05089900263967201,0.0,3402.6666666666665,9.511111111111111,2.7864444444444443
ソニー損保 入院給付,2.3333333333333335,0.158025042457447,0.8285354087750116,0.6411824226379395,0.1327898960899152,0.05089900263967201,0.0,3402.6666666666665,9.511111111111111,2.7864444444444443
